time,open,high,low,close,volume,ticker,industry,MA10,MA20,MA50,MA200,rsi,macd,upper_band,lower_band,RS
2019-10-23,9900,9980,9880,9880,736320,SSI,Dịch vụ tài chính,,,,,,0.0,,,
2019-10-24,9930,10110,9900,10110,1454750,SSI,Dịch vụ tài chính,,,,,,18.347578347578747,,,
2019-10-25,10110,10190,10090,10110,1154870,SSI,Dịch vụ tài chính,,,,,,32.51337245639297,,,
2019-10-28,10210,10290,10090,10090,1507540,SSI,Dịch vụ tài chính,,,,,,41.64596473587517,,,
2019-10-29,10090,10160,10040,10040,1162360,SSI,Dịch vụ tài chính,,,,,,44.337927749875234,,,
2019-10-30,10040,10160,10040,10140,1056930,SSI,Dịch vụ tài chính,,,,,,53.91894802865136,,,
2019-10-31,10160,10190,9980,10140,1786810,SSI,Dịch vụ tài chính,,,,,,60.810984451867625,,,
2019-11-01,10110,10300,10040,10210,3104820,SSI,Dịch vụ tài chính,,,,,,71.10177100051988,,,
2019-11-04,10260,10370,10240,10330,3298180,SSI,Dịch vụ tài chính,,,,,,87.9267260343604,,,
2019-11-05,10370,10420,10330,10350,2130290,SSI,Dịch vụ tài chính,10140.0,,,,,101.70209848498416,,,
2019-11-06,10350,10370,10290,10300,1545130,SSI,Dịch vụ tài chính,10182.0,,,,,107.34716694646704,,,
2019-11-07,10300,10540,10290,10470,2939090,SSI,Dịch vụ tài chính,10218.0,,,,,124.10786540550544,,,
2019-11-08,10560,10590,10420,10470,2388020,SSI,Dịch vụ tài chính,10254.0,,,,,135.82513211380683,,,
2019-11-11,10470,10470,10300,10300,1804140,SSI,Dịch vụ tài chính,10275.0,,,,71.0,129.89620851359905,,,
2019-11-12,10300,10400,10290,10290,1526400,SSI,Dịch vụ tài chính,10300.0,,,,70.29702970297029,122.97302098051841,,,
2019-11-13,10300,10330,10210,10290,1294780,SSI,Dịch vụ tài chính,10315.0,,,,61.53846153846154,116.14746925539293,,,
2019-11-14,10260,10300,10110,10190,1586090,SSI,Dịch vụ tài chính,10320.0,,,,54.54545454545455,101.49898890943405,,,
2019-11-15,10160,10190,10020,10020,1624740,SSI,Dịch vụ tài chính,10301.0,,,,46.60194174757281,75.30432209810533,,,
2019-11-18,10040,10060,9950,9980,1089630,SSI,Dịch vụ tài chính,10266.0,,,,47.05882352941176,50.732382891530506,,,
2019-11-19,9980,10090,9980,10020,904070,SSI,Dịch vụ tài chính,10233.0,10186.5,,,43.75,34.09359994744409,10509.204035823604,9863.795964176396,
2019-11-20,10040,10040,9930,9930,1248390,SSI,Dịch vụ tài chính,10196.0,10189.0,,,39.99999999999999,13.48949821122551,10502.345277861172,9875.654722138828,
2019-11-21,9930,9930,9690,9690,2083430,SSI,Dịch vụ tài chính,10118.0,10168.0,,,28.688524590163922,-21.952342160015178,10551.973683308745,9784.026316691255,
2019-11-22,9780,9800,9520,9540,1895590,SSI,Dịch vụ tài chính,10025.0,10139.5,,,18.400000000000006,-61.43580863708303,10615.24761110665,9663.75238889335,
2019-11-25,9590,9640,9520,9610,954610,SSI,Dịch vụ tài chính,9956.0,10115.5,,,21.538461538461533,-86.08597971014751,10646.93202763853,9584.06797236147,
2019-11-26,9640,9690,9500,9500,1658300,SSI,Dịch vụ tài chính,9877.0,10088.5,,,20.588235294117652,-113.19268377354456,10686.752718998812,9490.247281001188,
2019-11-27,9540,9540,9430,9430,1816170,SSI,Dịch vụ tài chính,9791.0,10053.0,,,8.73015873015872,-138.7242304468782,10718.83070394492,9387.16929605508,
